Receptor	Ligand	AD42_Score_pK	Energy	Intermol	vdW+Hbond+desolv	Elec	Internal	Torsion	Unbound
1afk_protein	1afk_ligand	6.0848	-8.2997	-10.9844	-7.0587	-3.9257	+0.4760	+2.6847
1afl_protein	1afl_ligand	3.3216	-4.5306	-7.5136	-5.4232	-2.0904	-0.2057	+2.9830
1a30_protein	1a30_ligand	1.2804	-1.7464	-5.6243	-7.3575	+1.7332	-2.7773	+3.8779
1a9m_protein	1a9m_ligand	5.6202	-7.6660	-13.6320	-13.7062	+0.0742	-4.3432	+5.9660
1a1e_protein	1a1e_ligand	5.7828	-7.8878	-12.0640	-8.9784	-3.0855	-2.7161	+4.1762
1aaq_protein	1aaq_ligand	4.4203	-6.0293	-11.6970	-10.6286	-1.0683	-4.3880	+5.6677
1a28_protein	1a28_ligand	8.1603	-11.1306	-11.4289	-11.2923	-0.1366	-0.2374	+0.2983
1adl_protein	1adl_ligand	3.6979	-5.0439	-9.2201	-7.9649	-1.2552	-1.5683	+4.1762
1a94_protein	1a94_ligand	6.7087	-9.1506	-17.8013	-17.2361	-0.5651	-6.1533	+8.6507
1a4w_protein	1a4w_ligand	6.5667	-8.9570	-12.8349	-11.3994	-1.4354	-4.0867	+3.8779
1a4r_protein	1a4r_ligand	5.2479	-7.1581	-9.8428	-8.2354	-1.6074	+0.0963	+2.6847
1aid_protein	1aid_ligand	3.6864	-5.0282	-7.1163	-7.0763	-0.0401	-0.8366	+2.0881
1ajx_protein	1ajx_ligand	7.4856	-10.2104	-13.7900	-13.6021	-0.1879	-3.2143	+3.5796
1ajv_protein	1ajv_ligand	8.6663	-11.8208	-15.4004	-15.3379	-0.0625	-2.7070	+3.5796
1a99_protein	1a99_ligand	5.1771	-7.0615	-8.5530	-4.2939	-4.2591	+0.2739	+1.4915
1alw_protein	1alw_ligand	2.2328	-3.0456	-4.2388	-3.5627	-0.6761	-0.3905	+1.1932
1aj7_protein	1aj7_ligand	4.4514	-6.0717	-8.4581	-6.7969	-1.6613	-0.1083	+2.3864
1a9q_protein	1a9q_ligand	2.8207	-3.8474	-3.8474	-3.8305	-0.0169	+0.0000	+0.0000
1amk_protein	1amk_ligand	-1.1669	1.5917	+0.6968	+2.4337	-1.7369	+0.4051	+0.8949
1apv_protein	1apv_ligand	5.3323	-7.2732	-12.0460	-11.8469	-0.1991	-3.7535	+4.7728
1amw_protein	1amw_ligand	1.8278	-2.4931	-5.1778	-5.2731	+0.0954	+0.1615	+2.6847
1ai4_protein	1ai4_ligand	2.9940	-4.0838	-5.2770	-4.4972	-0.7798	-0.9764	+1.1932
1ai7_protein	1ai7_ligand	2.6171	-3.5697	-3.8680	-3.8689	+0.0009	+0.0104	+0.2983
1atr_protein	1atr_ligand	2.1026	-2.8680	-5.5527	-5.7860	+0.2333	+0.0221	+2.6847
1ax0_protein	1ax0_ligand	2.1040	-2.8698	-4.6596	-4.8183	+0.1586	-1.9161	+1.7898
1ajp_protein	1ajp_ligand	2.5938	-3.5379	-4.7311	-4.1433	-0.5878	+0.0565	+1.1932
1ajq_protein	1ajq_ligand	3.8624	-5.2683	-5.8649	-4.9532	-0.9118	-0.0753	+0.5966
1b0h_protein	1b0h_ligand	12.0900	-16.4907	-21.8601	-16.4531	-5.4070	-2.6796	+5.3694
1b1h_protein	1b1h_ligand	10.5843	-14.4370	-20.1047	-14.9153	-5.1894	-2.2632	+5.6677
1b2h_protein	1b2h_ligand	9.7397	-13.2849	-19.2509	-12.5715	-6.6794	-1.9029	+5.9660
1a69_protein	1a69_ligand	2.8872	-3.9381	-5.4296	-5.7818	+0.3522	-1.5523	+1.4915
1ado_protein	1ado_ligand	2.4535	-3.3466	-4.8381	-3.5014	-1.3367	-0.1764	+1.4915
1b3g_protein	1b3g_ligand	9.6336	-13.1402	-18.5096	-13.1265	-5.3831	-2.3225	+5.3694
1b3f_protein	1b3f_ligand	9.3375	-12.7363	-18.1057	-12.8423	-5.2635	-1.9990	+5.3694
1b3h_protein	1b3h_ligand	10.3165	-14.0717	-19.4411	-14.0286	-5.4125	-2.2916	+5.3694
1b3l_protein	1b3l_ligand	8.4158	-11.4792	-16.2520	-10.9606	-5.2914	-1.7351	+4.7728
1b6k_protein	1b6k_ligand	9.7954	-13.3609	-17.5371	-15.0209	-2.5162	-4.5637	+4.1762
1b6j_protein	1b6j_ligand	9.8048	-13.3738	-17.5500	-16.6808	-0.8692	-4.1973	+4.1762
1b4z_protein	1b4z_ligand	8.4498	-11.5255	-16.8949	-11.9394	-4.9555	-2.0495	+5.3694
1b4h_protein	1b4h_ligand	8.3483	-11.3871	-17.0548	-11.2554	-5.7995	-1.7183	+5.6677
1b5h_protein	1b5h_ligand	8.5556	-11.6698	-17.0392	-11.0447	-5.9944	-1.7617	+5.3694
1b6l_protein	1b6l_ligand	7.9357	-10.8243	-13.2107	-12.3784	-0.8323	-2.1710	+2.3864
1b5i_protein	1b5i_ligand	8.4492	-11.5247	-16.8941	-11.6599	-5.2343	-2.0211	+5.3694
1b5j_protein	1b5j_ligand	9.8469	-13.4312	-19.0989	-13.3928	-5.7062	-2.1189	+5.6677
1b05_protein	1b05_ligand	8.7479	-11.9322	-17.3016	-12.0741	-5.2275	-2.1536	+5.3694
1b8n_protein	1b8n_ligand	4.9724	-6.7823	-8.5721	-7.1132	-1.4589	-1.1969	+1.7898
1b8o_protein	1b8o_ligand	4.2996	-5.8647	-7.3562	-6.8574	-0.4988	-1.6642	+1.4915
1b6h_protein	1b6h_ligand	9.4534	-12.8944	-18.2638	-12.9250	-5.3389	-2.1277	+5.3694
1b38_protein	1b38_ligand	4.6669	-6.3656	-9.6469	-7.5793	-2.0676	+1.5145	+3.2813
1bdq_protein	1bdq_ligand	6.7746	-9.2406	-13.7151	-13.6339	-0.0812	-4.1695	+4.4745
1b7h_protein	1b7h_ligand	9.5518	-13.0287	-18.6964	-13.3485	-5.3480	-2.1306	+5.6677
1bcu_protein	1bcu_ligand	3.4746	-4.7393	-5.3359	-5.3013	-0.0346	+0.0484	+0.5966
1bhf_protein	1bhf_ligand	4.9198	-6.7106	-12.6766	-9.5674	-3.1092	-3.3531	+5.9660
