,qed,MaxPartialCharge,MinPartialCharge,TPSA,FractionCSP3,HeavyAtomCount,MolLogP,TPSA/HeavyAtomCount,ligand,pK_AD42,pK_ref,pK_Vina
0,0.3199344001628815,0.27136776287100506,-0.7898616327296052,293.2799999999999,0.5,31,-4.788999999999999,9.46064516129032,1afk_ligand,6.0848,6.62,3.882874
1,0.3199344001628815,0.27136775989236395,-0.7898604749089225,293.2799999999999,0.5,31,-4.788999999999998,9.46064516129032,1afl_ligand,3.3216,6.28,1.009201
2,0.2991433666572374,0.27832793258932653,-0.5501673201883103,206.23,0.6666666666666666,26,-5.9674,7.931923076923076,1a30_ligand,1.2804,4.3,3.664707
3,0.04410869204893448,0.33826574376462354,-0.3909654340446547,257.34999999999997,0.7857142857142857,42,-2.3513000000000006,6.1273809523809515,1a9m_ligand,5.6202,6.92,5.460528
4,0.28331428832041733,0.24466779143055492,-0.7802414199724877,191.06,0.6,38,-0.6149999999999967,5.027894736842105,1a1e_ligand,5.7828,6.0,4.217273
5,0.1417279433103863,0.3281264286556723,-0.46747793156625234,190.57,0.6206896551724138,41,-0.5552999999999908,4.648048780487804,1aaq_ligand,4.4203,8.4,4.732067
6,0.7013194281770768,0.15519729043717378,-0.29969370556608593,34.14,0.8095238095238095,23,4.723500000000005,1.4843478260869565,1a28_ligand,8.1603,8.29,7.942383
7,0.33869856574340323,0.04139489871124786,-0.5501716638720029,40.129999999999995,0.55,22,4.882000000000004,1.824090909090909,1adl_ligand,3.6979,5.36,4.052309
8,0.021580416831776583,0.33826576532263125,-0.5501702275331575,349.0999999999999,0.625,60,-4.880400000000022,5.818333333333332,1a94_ligand,6.7087,7.85,5.362163
9,0.09741704993968246,0.33826574129274295,-0.37715935255779076,163.32,0.4482758620689655,42,1.4970000000000026,3.8885714285714283,1a4w_ligand,6.5667,5.92,5.762031
10,0.2834571977047234,0.30181188638991086,-0.7661072182717649,257.84000000000003,0.6,28,-4.670699999999995,9.20857142857143,1a4r_ligand,5.2479,6.66,4.92967
11,0.676441929946738,0.12272996690891777,-0.3846972281603199,24.67,0.4782608695652174,29,4.458600000000005,0.8506896551724139,1aid_ligand,3.6864,4.82,4.839846
12,0.3048561230843727,0.3210410281229382,-0.49134110105881584,82.47000000000001,0.24242424242424243,40,4.741400000000004,2.0617500000000004,1ajx_ligand,7.4856,7.91,8.2211
13,0.29851014159494516,0.28303313355157106,-0.4918157849035441,99.54000000000002,0.25,41,3.8662000000000036,2.427804878048781,1ajv_ligand,8.6663,7.72,8.436085
14,0.3861627774079314,0.07415171063278922,-0.3575575613423975,55.28,1.0,6,-1.7495999999999983,9.213333333333333,1a99_ligand,5.1771,5.7,2.900213
15,0.6802035493242229,0.05448597255075202,-0.5489461702043638,40.129999999999995,0.2222222222222222,12,0.2773999999999999,3.3441666666666663,1alw_ligand,2.2328,6.52,2.8575
